,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,Birth_Year
644,1,3,female,0.75,2,1,C,1911.25
645,1,1,male,48.0,1,0,C,1864.0
646,0,3,male,19.0,0,0,S,1893.0
647,1,1,male,56.0,0,0,C,1856.0
648,0,3,male,,0,0,S,
649,1,3,female,23.0,0,0,S,1889.0
650,0,3,male,,0,0,S,
651,1,2,female,18.0,0,1,S,1894.0
652,0,3,male,21.0,0,0,S,1891.0
653,1,3,female,,0,0,Q,
654,0,3,female,18.0,0,0,Q,1894.0
655,0,2,male,24.0,2,0,S,1888.0
656,0,3,male,,0,0,S,
657,0,3,female,32.0,1,1,Q,1880.0
658,0,2,male,23.0,0,0,S,1889.0
659,0,1,male,58.0,0,2,C,1854.0
660,1,1,male,50.0,2,0,S,1862.0
661,0,3,male,40.0,0,0,C,1872.0
662,0,1,male,47.0,0,0,S,1865.0
663,0,3,male,36.0,0,0,S,1876.0
664,1,3,male,20.0,1,0,S,1892.0
665,0,2,male,32.0,2,0,S,1880.0
666,0,2,male,25.0,0,0,S,1887.0
667,0,3,male,,0,0,S,
668,0,3,male,43.0,0,0,S,1869.0
669,1,1,female,,1,0,S,
670,1,2,female,40.0,1,1,S,1872.0
671,0,1,male,31.0,1,0,S,1881.0
672,0,2,male,70.0,0,0,S,1842.0
673,1,2,male,31.0,0,0,S,1881.0
674,0,2,male,,0,0,S,
675,0,3,male,18.0,0,0,S,1894.0
676,0,3,male,24.5,0,0,S,1887.5
677,1,3,female,18.0,0,0,S,1894.0
678,0,3,female,43.0,1,6,S,1869.0
679,1,1,male,36.0,0,1,C,1876.0
680,0,3,female,,0,0,Q,
681,1,1,male,27.0,0,0,C,1885.0
682,0,3,male,20.0,0,0,S,1892.0
683,0,3,male,14.0,5,2,S,1898.0
684,0,2,male,60.0,1,1,S,1852.0
685,0,2,male,25.0,1,2,C,1887.0
686,0,3,male,14.0,4,1,S,1898.0
687,0,3,male,19.0,0,0,S,1893.0
688,0,3,male,18.0,0,0,S,1894.0
689,1,1,female,15.0,0,1,S,1897.0
690,1,1,male,31.0,1,0,S,1881.0
691,1,3,female,4.0,0,1,C,1908.0
692,1,3,male,,0,0,S,
693,0,3,male,25.0,0,0,C,1887.0
694,0,1,male,60.0,0,0,S,1852.0
695,0,2,male,52.0,0,0,S,1860.0
696,0,3,male,44.0,0,0,S,1868.0
697,1,3,female,,0,0,Q,
698,0,1,male,49.0,1,1,C,1863.0
699,0,3,male,42.0,0,0,S,1870.0
700,1,1,female,18.0,1,0,C,1894.0
701,1,1,male,35.0,0,0,S,1877.0
702,0,3,female,18.0,0,1,C,1894.0
703,0,3,male,25.0,0,0,Q,1887.0
704,0,3,male,26.0,1,0,S,1886.0
705,0,2,male,39.0,0,0,S,1873.0
706,1,2,female,45.0,0,0,S,1867.0
707,1,1,male,42.0,0,0,S,1870.0
708,1,1,female,22.0,0,0,S,1890.0
709,1,3,male,,1,1,C,
710,1,1,female,24.0,0,0,C,1888.0
711,0,1,male,,0,0,S,
712,1,1,male,48.0,1,0,S,1864.0
713,0,3,male,29.0,0,0,S,1883.0
714,0,2,male,52.0,0,0,S,1860.0
715,0,3,male,19.0,0,0,S,1893.0
716,1,1,female,38.0,0,0,C,1874.0
717,1,2,female,27.0,0,0,S,1885.0
718,0,3,male,,0,0,Q,
719,0,3,male,33.0,0,0,S,1879.0
720,1,2,female,6.0,0,1,S,1906.0
721,0,3,male,17.0,1,0,S,1895.0
722,0,2,male,34.0,0,0,S,1878.0
723,0,2,male,50.0,0,0,S,1862.0
724,1,1,male,27.0,1,0,S,1885.0
725,0,3,male,20.0,0,0,S,1892.0
726,1,2,female,30.0,3,0,S,1882.0
727,1,3,female,,0,0,Q,
728,0,2,male,25.0,1,0,S,1887.0
729,0,3,female,25.0,1,0,S,1887.0
730,1,1,female,29.0,0,0,S,1883.0
731,0,3,male,11.0,0,0,C,1901.0
732,0,2,male,,0,0,S,
733,0,2,male,23.0,0,0,S,1889.0
734,0,2,male,23.0,0,0,S,1889.0
735,0,3,male,28.5,0,0,S,1883.5
736,0,3,female,48.0,1,3,S,1864.0
737,1,1,male,35.0,0,0,C,1877.0
738,0,3,male,,0,0,S,
739,0,3,male,,0,0,S,
740,1,1,male,,0,0,S,
741,0,1,male,36.0,1,0,S,1876.0
742,1,1,female,21.0,2,2,C,1891.0
743,0,3,male,24.0,1,0,S,1888.0
744,1,3,male,31.0,0,0,S,1881.0
745,0,1,male,70.0,1,1,S,1842.0
746,0,3,male,16.0,1,1,S,1896.0
747,1,2,female,30.0,0,0,S,1882.0
748,0,1,male,19.0,1,0,S,1893.0
749,0,3,male,31.0,0,0,Q,1881.0
750,1,2,female,4.0,1,1,S,1908.0
751,1,3,male,6.0,0,1,S,1906.0
752,0,3,male,33.0,0,0,S,1879.0
753,0,3,male,23.0,0,0,S,1889.0
754,1,2,female,48.0,1,2,S,1864.0
755,1,2,male,0.67,1,1,S,1911.33
756,0,3,male,28.0,0,0,S,1884.0
757,0,2,male,18.0,0,0,S,1894.0
758,0,3,male,34.0,0,0,S,1878.0
759,1,1,female,33.0,0,0,S,1879.0
760,0,3,male,,0,0,S,
761,0,3,male,41.0,0,0,S,1871.0
762,1,3,male,20.0,0,0,C,1892.0
763,1,1,female,36.0,1,2,S,1876.0
764,0,3,male,16.0,0,0,S,1896.0
765,1,1,female,51.0,1,0,S,1861.0
766,0,1,male,,0,0,C,
767,0,3,female,30.5,0,0,Q,1881.5
768,0,3,male,,1,0,Q,
769,0,3,male,32.0,0,0,S,1880.0
770,0,3,male,24.0,0,0,S,1888.0
771,0,3,male,48.0,0,0,S,1864.0
772,0,2,female,57.0,0,0,S,1855.0
773,0,3,male,,0,0,C,
774,1,2,female,54.0,1,3,S,1858.0
775,0,3,male,18.0,0,0,S,1894.0
776,0,3,male,,0,0,Q,
777,1,3,female,5.0,0,0,S,1907.0
778,0,3,male,,0,0,Q,
779,1,1,female,43.0,0,1,S,1869.0
780,1,3,female,13.0,0,0,C,1899.0
781,1,1,female,17.0,1,0,S,1895.0
782,0,1,male,29.0,0,0,S,1883.0
783,0,3,male,,1,2,S,
784,0,3,male,25.0,0,0,S,1887.0
785,0,3,male,25.0,0,0,S,1887.0
786,1,3,female,18.0,0,0,S,1894.0
787,0,3,male,8.0,4,1,Q,1904.0
788,1,3,male,1.0,1,2,S,1911.0
789,0,1,male,46.0,0,0,C,1866.0
790,0,3,male,,0,0,Q,
791,0,2,male,16.0,0,0,S,1896.0
792,0,3,female,,8,2,S,
793,0,1,male,,0,0,C,
794,0,3,male,25.0,0,0,S,1887.0
795,0,2,male,39.0,0,0,S,1873.0
796,1,1,female,49.0,0,0,S,1863.0
797,1,3,female,31.0,0,0,S,1881.0
798,0,3,male,30.0,0,0,C,1882.0
799,0,3,female,30.0,1,1,S,1882.0
800,0,2,male,34.0,0,0,S,1878.0
801,1,2,female,31.0,1,1,S,1881.0
802,1,1,male,11.0,1,2,S,1901.0
803,1,3,male,0.42,0,1,C,1911.58
804,1,3,male,27.0,0,0,S,1885.0
805,0,3,male,31.0,0,0,S,1881.0
806,0,1,male,39.0,0,0,S,1873.0
807,0,3,female,18.0,0,0,S,1894.0
808,0,2,male,39.0,0,0,S,1873.0
809,1,1,female,33.0,1,0,S,1879.0
810,0,3,male,26.0,0,0,S,1886.0
811,0,3,male,39.0,0,0,S,1873.0
812,0,2,male,35.0,0,0,S,1877.0
813,0,3,female,6.0,4,2,S,1906.0
814,0,3,male,30.5,0,0,S,1881.5
815,0,1,male,,0,0,S,
816,0,3,female,23.0,0,0,S,1889.0
817,0,2,male,31.0,1,1,C,1881.0
818,0,3,male,43.0,0,0,S,1869.0
819,0,3,male,10.0,3,2,S,1902.0
820,1,1,female,52.0,1,1,S,1860.0
821,1,3,male,27.0,0,0,S,1885.0
822,0,1,male,38.0,0,0,S,1874.0
823,1,3,female,27.0,0,1,S,1885.0
824,0,3,male,2.0,4,1,S,1910.0
825,0,3,male,,0,0,Q,
826,0,3,male,,0,0,S,
827,1,2,male,1.0,0,2,C,1911.0
828,1,3,male,,0,0,Q,
829,1,1,female,62.0,0,0,,1850.0
830,1,3,female,15.0,1,0,C,1897.0
831,1,2,male,0.83,1,1,S,1911.17
832,0,3,male,,0,0,C,
833,0,3,male,23.0,0,0,S,1889.0
834,0,3,male,18.0,0,0,S,1894.0
835,1,1,female,39.0,1,1,C,1873.0
836,0,3,male,21.0,0,0,S,1891.0
837,0,3,male,,0,0,S,
838,1,3,male,32.0,0,0,S,1880.0
839,1,1,male,,0,0,C,
840,0,3,male,20.0,0,0,S,1892.0
841,0,2,male,16.0,0,0,S,1896.0
842,1,1,female,30.0,0,0,C,1882.0
843,0,3,male,34.5,0,0,C,1877.5
844,0,3,male,17.0,0,0,S,1895.0
845,0,3,male,42.0,0,0,S,1870.0
846,0,3,male,,8,2,S,
847,0,3,male,35.0,0,0,C,1877.0
848,0,2,male,28.0,0,1,S,1884.0
849,1,1,female,,1,0,C,
850,0,3,male,4.0,4,2,S,1908.0
851,0,3,male,74.0,0,0,S,1838.0
852,0,3,female,9.0,1,1,C,1903.0
853,1,1,female,16.0,0,1,S,1896.0
854,0,2,female,44.0,1,0,S,1868.0
855,1,3,female,18.0,0,1,S,1894.0
856,1,1,female,45.0,1,1,S,1867.0
857,1,1,male,51.0,0,0,S,1861.0
858,1,3,female,24.0,0,3,C,1888.0
859,0,3,male,,0,0,C,
860,0,3,male,41.0,2,0,S,1871.0
861,0,2,male,21.0,1,0,S,1891.0
862,1,1,female,48.0,0,0,S,1864.0
863,0,3,female,,8,2,S,
864,0,2,male,24.0,0,0,S,1888.0
865,1,2,female,42.0,0,0,S,1870.0
866,1,2,female,27.0,1,0,C,1885.0
867,0,1,male,31.0,0,0,S,1881.0
868,0,3,male,,0,0,S,
869,1,3,male,4.0,1,1,S,1908.0
870,0,3,male,26.0,0,0,S,1886.0
871,1,1,female,47.0,1,1,S,1865.0
872,0,1,male,33.0,0,0,S,1879.0
873,0,3,male,47.0,0,0,S,1865.0
874,1,2,female,28.0,1,0,C,1884.0
875,1,3,female,15.0,0,0,C,1897.0
876,0,3,male,20.0,0,0,S,1892.0
877,0,3,male,19.0,0,0,S,1893.0
878,0,3,male,,0,0,S,
879,1,1,female,56.0,0,1,C,1856.0
880,1,2,female,25.0,0,1,S,1887.0
881,0,3,male,33.0,0,0,S,1879.0
882,0,3,female,22.0,0,0,S,1890.0
883,0,2,male,28.0,0,0,S,1884.0
884,0,3,male,25.0,0,0,S,1887.0
885,0,3,female,39.0,0,5,Q,1873.0
886,0,2,male,27.0,0,0,S,1885.0
887,1,1,female,19.0,0,0,S,1893.0
888,0,3,female,,1,2,S,
889,1,1,male,26.0,0,0,C,1886.0
890,0,3,male,32.0,0,0,Q,1880.0
